epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1699.27,2.69298,0.87473,0.9858,0.54574,6.16305e-05,6.16305e-05,6.16305e-05
2,3148.73,0.50782,0.9822,0.99932,0.0768,0.000111091,0.000111091,0.000111091
3,5131.16,0.23304,0.98755,0.99981,0.04536,0.000148341,0.000148341,0.000148341
4,6652.54,0.17059,0.99465,0.99981,0.02357,0.000130055,0.000130055,0.000130055
5,7674.88,0.12856,0.99592,0.9999,0.01866,0.00011174,0.00011174,0.00011174
